Entité administrative;Nombre d'indépendants;Hommes;Femmes;15-24 ans;25-49 ans;50-64 ans;65 ans et plus;Moins de 30 ans;55 ans et +;Indépendants (aidants non compris);Aidants;Actifs à titre principal;Actifs à titre complémentaire;Actifs après la pension;Annee
Soignies;13222;8522;4700;408;7686;4127;1001;1363;3440;12329;893;8642;3565;1015;2013
Thuin;11895;7519;4376;324;6493;4062;1016;1081;3363;11046;849;7844;3004;1047;2013
Tournai;11352;7338;4014;282;6251;3836;983;963;3238;10301;1051;7781;2580;991;2013
Huy;9385;6090;3295;254;5222;3207;702;864;2599;8799;586;6013;2633;739;2013
Liège;41469;26915;14554;1159;23119;13411;3780;4253;11859;39295;2174;26570;10890;4009;2013
Verviers;24143;16178;7965;712;12766;8312;2353;2358;7203;22375;1768;16077;5578;2488;2013
Waremme;6876;4415;2461;169;3858;2273;576;606;1955;6454;422;4343;1928;605;2013
Arlon;2618;1554;1064;90;1369;917;242;276;790;2400;218;1876;502;240;2013
Bastogne;4585;3091;1494;138;2259;1649;539;426;1538;4207;378;2976;1074;535;2013
Marche-en-Famenne;5735;3864;1871;168;2965;2058;544;553;1755;5318;417;3697;1490;548;2013
Neufchâteau;6323;4291;2032;201;3230;2186;706;610;2052;5860;463;3914;1706;703;2013
Virton;3451;2197;1254;94;1681;1283;393;310;1179;3240;211;2265;779;407;2013
Dinant;10404;6892;3512;293;5598;3596;917;998;3050;9617;787;6779;2660;965;2013
Namur;25821;16753;9068;686;14747;8275;2113;2516;6981;24405;1416;16408;7178;2235;2013
Philippeville;5675;3684;1991;159;3087;1938;491;520;1623;5305;370;3672;1491;512;2013
Nivelles;42482;28134;14348;975;23128;14716;3663;3346;12204;40819;1663;29920;8781;3781;2012
Ath;7149;4584;2565;153;4052;2350;594;542;1999;6538;611;4887;1661;601;2012
Charleroi;24979;16262;8717;820;14259;7909;1991;2702;6668;23476;1503;16486;6490;2003;2012
Mons;15214;9560;5654;377;8820;4842;1175;1472;4159;14234;980;10013;4014;1187;2012
Mouscron;4457;2781;1676;123;2570;1399;365;376;1191;3954;503;3295;794;368;2012
Soignies;12939;8359;4580;382;7578;4029;950;1289;3345;12035;904;8538;3439;962;2012
Thuin;11847;7542;4305;332;6576;4001;938;1084;3247;10967;880;7970;2925;952;2012
Tournai;11188;7250;3938;262;6248;3742;936;906;3156;10116;1072;7754;2515;919;2012
Huy;9236;6048;3188;224;5223;3137;652;805;2537;8644;592;6014;2529;693;2012
Liège;40905;26745;14160;1118;22993;13221;3573;4071;11516;38720;2185;26594;10569;3742;2012
Verviers;23869;16079;7790;731;12777;8126;2235;2281;6941;22086;1783;16135;5381;2353;2012
Waremme;6730;4374;2356;155;3775;2264;536;576;1919;6299;431;4285;1878;567;2012
Arlon;2686;1603;1083;80;1430;945;231;291;796;2456;230;1932;525;229;2012
Bastogne;4654;3118;1536;134;2370;1624;526;432;1528;4263;391;3046;1086;522;2012
Marche-en-Famenne;5708;3883;1825;156;2997;2032;523;522;1713;5261;447;3727;1463;518;2012
Neufchâteau;6355;4318;2037;173;3316;2188;678;604;2022;5881;474;3961;1718;676;2012
Virton;3436;2194;1242;92;1718;1262;364;288;1136;3220;216;2283;788;365;2012
Dinant;10261;6841;3420;295;5600;3499;867;1005;2934;9438;823;6809;2541;911;2012
Namur;25454;16604;8850;723;14630;8094;2007;2496;6684;23969;1485;16375;6990;2089;2012
Philippeville;5643;3661;1982;153;3114;1933;443;526;1585;5255;388;3703;1479;461;2012
Nivelles;41380;27578;13802;865;22869;14249;3397;3171;11723;39738;1642;29482;8420;3478;2011
Ath;7011;4517;2494;126;4070;2265;550;541;1904;6383;628;4853;1614;544;2011
Charleroi;24530;16010;8520;802;14044;7803;1881;2594;6486;23056;1474;16327;6314;1889;2011
Mons;14812;9361;5451;353;8591;4798;1070;1403;4032;13812;1000;9911;3813;1088;2011
Mouscron;4449;2777;1672;134;2586;1380;349;420;1168;3925;524;3342;751;356;2011
Soignies;12597;8163;4434;348;7408;3914;927;1230;3241;11673;924;8405;3260;932;2011
Thuin;11588;7407;4181;277;6503;3915;893;1017;3208;10716;872;7951;2749;888;2011
Tournai;11116;7200;3916;235;6233;3785;863;884;3152;9999;1117;7835;2429;852;2011
Huy;9016;5973;3043;249;5107;3033;627;807;2436;8404;612;5917;2441;658;2011
Liège;40111;26351;13760;1047;22670;13106;3288;3979;11156;37882;2229;26549;10138;3424;2011
Verviers;23605;15954;7651;682;12856;7940;2127;2163;6743;21787;1818;16096;5277;2232;2011
Waremme;6508;4245;2263;143;3699;2164;502;537;1817;6062;446;4243;1746;519;2011
Arlon;2739;1636;1103;83;1496;926;234;305;785;2509;230;1950;559;230;2011
Bastogne;4682;3141;1541;134;2417;1613;518;420;1483;4281;401;3092;1072;518;2011
Marche-en-Famenne;5629;3821;1808;149;2982;2001;497;490;1653;5137;492;3707;1428;494;2011
Neufchâteau;6298;4311;1987;173;3343;2150;632;594;1926;5805;493;3960;1695;643;2011
