Entité administrative;Nombre d'indépendants;Hommes;Femmes;15-24 ans;25-49 ans;50-64 ans;65 ans et plus;Moins de 30 ans;55 ans et +;Indépendants (aidants non compris);Aidants;Actifs à titre principal;Actifs à titre complémentaire;Actifs après la pension;Annee
Mouscron;4039;2763;1276;103;2519;1149;268;457;931;3744;295;3199;549;291;2002
Soignies;10594;7536;3058;254;6705;2871;764;1025;2340;10154;440;7627;2174;793;2002
Thuin;9871;6956;2915;229;6067;2878;697;908;2305;9463;408;7246;1896;729;2002
Tournai;9621;6916;2705;237;5820;2771;793;913;2355;9021;600;7269;1539;813;2002
Huy;7473;5327;2146;165;4761;2023;524;676;1556;7193;280;5365;1555;553;2002
Liège;35214;24696;10518;823;21771;9859;2761;3371;8115;34273;941;24976;7279;2959;2002
Verviers;21236;15616;5620;525;12999;5835;1877;1953;5158;20458;778;15098;4103;2035;2002
Waremme;5380;3861;1519;109;3279;1541;451;453;1259;5178;202;3760;1153;467;2002
Arlon;2459;1664;795;49;1493;701;216;224;602;2361;98;1733;502;224;2002
Bastogne;4436;3309;1127;125;2654;1160;497;413;1151;4172;264;2969;947;520;2002
Marche-en-Famenne;4917;3634;1283;127;3069;1261;460;448;1158;4663;254;3428;1008;481;2002
Neufchâteau;5786;4352;1434;171;3483;1543;589;616;1435;5465;321;3777;1392;617;2002
Virton;3179;2279;900;71;1914;875;319;253;759;3036;143;2154;690;335;2002
Dinant;8803;6421;2382;236;5373;2427;767;840;2112;8377;426;6283;1719;801;2002
Namur;20218;14329;5889;471;12816;5594;1337;2035;4314;19528;690;14171;4621;1426;2002
Philippeville;4809;3392;1417;108;2980;1308;413;438;1119;4588;221;3445;941;423;2002
Nivelles;32737;23342;9395;640;20495;9545;2057;2785;7300;31921;816;25024;5478;2234;2001
Ath;5802;4129;1673;164;3574;1547;517;596;1394;5408;394;4265;991;546;2001
Charleroi;21311;14879;6432;584;13521;5834;1372;2125;4400;20793;518;15107;4703;1500;2001
Mons;13370;9186;4184;343;8564;3542;921;1497;2737;12942;428;9779;2624;967;2001
Mouscron;4112;2843;1269;132;2568;1134;278;527;919;3810;302;3274;534;303;2001
Soignies;10542;7488;3054;284;6734;2764;760;1118;2275;10112;430;7619;2111;812;2001
Thuin;9953;7036;2917;246;6164;2809;734;949;2230;9527;426;7342;1835;775;2001
Tournai;9651;6972;2679;276;5872;2723;780;990;2248;9026;625;7326;1509;816;2001
Huy;7499;5376;2123;166;4860;1947;526;690;1507;7207;292;5405;1521;573;2001
Liège;35471;24913;10558;835;22298;9585;2753;3622;7757;34513;958;25265;7166;3040;2001
Verviers;21459;15816;5643;608;13242;5740;1869;2143;5042;20615;844;15386;4006;2067;2001
Waremme;5429;3918;1511;125;3399;1467;438;515;1205;5224;205;3842;1116;471;2001
Arlon;2508;1712;796;62;1548;687;211;254;595;2407;101;1766;511;230;2001
Bastogne;4473;3347;1126;140;2702;1123;508;424;1148;4203;270;3008;922;543;2001
Marche-en-Famenne;4923;3634;1289;149;3081;1242;451;495;1138;4655;268;3468;960;495;2001
Neufchâteau;5768;4350;1418;171;3522;1490;585;649;1407;5446;322;3774;1369;624;2001
Virton;3226;2323;903;72;1990;841;323;284;727;3077;149;2225;661;340;2001
Dinant;8829;6427;2402;267;5457;2328;777;935;2056;8392;437;6300;1698;831;2001
Namur;20061;14274;5787;485;12884;5391;1301;2123;4085;19360;701;14141;4488;1431;2001
Philippeville;4791;3393;1398;109;2984;1292;406;456;1079;4558;233;3454;904;433;2001
Nivelles;32681;23348;9333;658;20696;9308;2019;3004;6893;31855;826;25107;5345;2227;2000
Ath;5842;4183;1659;181;3612;1512;537;662;1376;5451;391;4303;969;570;2000
Charleroi;21545;15089;6456;610;13873;5647;1415;2314;4185;21060;485;15439;4548;1558;2000
Mons;13387;9187;4200;375;8659;3438;915;1591;2594;12962;425;9922;2463;1002;2000
Mouscron;4161;2867;1294;146;2615;1121;279;581;907;3848;313;3336;510;315;2000
Soignies;10656;7578;3078;310;6862;2694;790;1182;2208;10237;419;7778;2028;850;2000
Thuin;10008;7092;2916;264;6285;2720;739;1019;2112;9595;413;7427;1789;792;2000
Tournai;9773;7080;2693;291;6021;2672;789;1107;2208;9144;629;7440;1502;831;2000
Huy;7508;5411;2097;178;4942;1859;529;760;1445;7196;312;5464;1464;580;2000
Liège;35978;25212;10766;916;22893;9404;2765;3955;7491;35017;961;25842;7011;3123;2000
Verviers;21676;16009;5667;644;13505;5648;1879;2278;4972;20815;861;15676;3896;2104;2000
Waremme;5407;3913;1494;125;3424;1413;445;533;1180;5196;211;3872;1037;498;2000
Arlon;2555;1754;801;75;1576;690;214;287;595;2455;100;1825;498;232;2000
Bastogne;4515;3401;1114;157;2745;1090;523;471;1148;4233;282;3055;896;564;2000
Marche-en-Famenne;4975;3669;1306;153;3124;1238;460;536;1136;4699;276;3535;928;512;2000
Neufchâteau;5830;4420;1410;177;3624;1448;581;679;1369;5511;319;3844;1356;630;2000
Virton;3260;2365;895;87;2028;815;330;305;726;3103;157;2225;671;364;2000
Dinant;8916;6508;2408;280;5555;2266;815;999;2030;8475;441;6374;1650;892;2000
Namur;20011;14218;5793;561;12949;5244;1257;2288;3903;19316;695;14259;4333;1418;2000
Philippeville;4825;3414;1411;114;3037;1262;412;505;1045;4584;241;3489;890;446;2000
